"Are you sure you want to uninstall this module?","Möchten Sie dieses Modul wirklich deinstallieren ?"
"Bridge","Bridge"
"New! Instant payment, easier, faster","New! Instant payment, easier, faster"
"Bank Payment by Bridge","Bank Payment by Bridge"
"Bridge official","Bridge officiel"
"Waiting for Bridge Transfer","Warten auf die Bridge-Überweisung"
"<span style='color:red'><b>Bridge</b> can only be configured in WEBSITE or STORE VIEW, please select in the top-left menu the WEBSITE or STORE VIEW that you want to configure.</span>","<span style='color:red'><b>Bridge</b> kann nur auf einer SITE- oder SHOP-Ansicht eingerichtet werden. Bitte wählen Sie die SITE oder den SHOP, die Sie einrichten möchten.</span>"
"Setting up","Konfiguration"
"Status","Staat"
"WebHook configuration","Konfiguration des WebHooks"
"WebHook contacted","WebHook Ausgelöst"
"Production environment","Produktionsumgebung"
" on all the shop"," über den gesamten Shop"
"Error not in website or storeview context","Fehler nicht im Kontext der Website- oder Ladenansicht"
"Connected to bridge API","Mit der Bridge API verbunden"
" banks"," Banken"
"WebHook URL copied to clipboard","WebHook URL, die in die Zwischenablage kopiert wurde."
"This URL is needed to connect Bridge to your website. ","Diese URL ist unerlässlich, um Bridge mit Ihrer Website zu verbinden. "
"It must be entered in the WebHook section of your Bridge account ","Sie muss im WebHook-Bereich Ihres Bridge-Kontos korrekt eingegeben werden. "
"for the module to work properly.","damit das Modul richtig funktioniert."
"Error in response : ","Fehler in der Antwort : "
"Not enabled","Nicht aktiviert"
"Enabled","Aktiviert"
"Easily add direct deposit payment for your customers.","Fügen Sie ganz einfach die Zahlung per Direktüberweisung für Ihre Kunden hinzu."
"Error while retrieving the payment link. Please try again.","Fehler beim Aufrufen des Zahlungslinks. Bitte versuchen Sie es erneut."
"Error, bank selected is invalid. Please verify the selected bank","Fehler, die ausgewählte Bank ist nicht gültig. Bitte überprüfen Sie die Auswahl."
"Error with the cart. Please refresh your page.","Fehler mit dem Warenkorb. Bitte aktualisieren Sie Ihre Seite."
"Error with the cart. Please refresh your page.","Fehler mit dem Warenkorb. Bitte aktualisieren Sie Ihre Seite."
"Error with the customer. Please verify your order.","Fehler mit dem Kundenkonto. Bitte überprüfen Sie Ihre Bestellung."
"Error with the payment status, please try again.","Fehler im Zahlungsstatus. Bitte versuchen Sie es noch einmal."
"Due to a difference between the amount in your shopping cart and the amount paid, the order could not be created.","En raison d'une différence entre le montant de votre panier et le montant payé, la commande n'a pas pu être créée."
"We recommend you to contact us by email at %s.","Nous vous recommandons de nous contacter par mail à cette adresse %s"
"Technical error, please contact support.",
"Error during payment, please try again.","Fehler während des Bezahlvorgangs, bitte versuchen Sie es noch einmal."
"Yes","Ja"
"No","Nein"
"Successful update.","Erfolgreich aktualisiert."
"WebHook URL sent to clipboard","WebHook-URL in die Zwischenablage kopiert"
"SSL enabled","SSL aktiv"
"SSL not enabled on all the shop","SSL nicht im gesamten Shop aktiviert"
"Ok","Ok"
"No","Nein"
"not installed","Nicht installiert"
"Connected to Bridge API","Mit der Bridge-API verbunden"
"Webhook triggered","Webhook ausgelöst"
"Production environment","Produktionsumgebung"
"Back","Zurück"
"Pay via Bridge","Mit Bridge bezahlen"
"Choose my bank","Meine Bank auswählen"
"Search a bank","Eine Bank suchen"
"No results to display","Keine Ergebnisse zum Anzeigen"
"Instant bank payment ","Sofortüberweisung über Bridge "
"TLS call failed","TLS-Aufruf fehlgeschlagen"
"No configuration saved","Keine Konfiguration gespeichert"
"Error while calling the Bridge API please consult logs for more informations.","Fehler beim Anruf an Bridge-API, bitte sehen Sie die Logs für weitere Informationen ein"
"Pay with Bridge","Mit Bridge bezahlen"
"Try again to check payment",
"Click here to try again to check payment from Bridge",
"You have chosen to pay for your order by bank transfer using Bridge solution.","Sie haben sich entschieden, Ihre Bestellung per Sofortüberweisung über das Bridge-System zu bezahlen."
"Your transfer is under process.","Ihre Überweisung wartet nun darauf, von Ihrer Bank ausgeführt zu werden."
"Your order will be shipped once the transfer executed by your bank.","Ihre Bestellung wird versendet, sobald die Überweisung von Ihrer Bank ausgeführt wurde."
"If you have any questions or concerns, please feel free to contact ",
"our customer service.","unseren Kundenservice."
"Setting up your order statuses","Konfiguration Ihrer Bestellstatus"
"Status of pending wire transfers","Status der Überweisungen,--br--die auf die Bearbeitung warten"
