"Are you sure you want to uninstall this module?","¿Estás seguro de que quieres desinstalar este módulo?"
"Bridge","Bridge"
"New! Instant payment, easier, faster","New! Instant payment, easier, faster"
"Bank Payment by Bridge","Bank Payment by Bridge"
"Bridge official","Bridge official"
"Waiting for Bridge Transfer","A la espera del traslado del Bridge"
"<span style='color:red'><b>Bridge</b> can only be configured in WEBSITE or STORE VIEW, please select in the top-left menu the WEBSITE or STORE VIEW that you want to configure.</span>","<span style='color:red'><b>Bridge</b> sólo puede configurarse en WEBSITE o STORE VIEW, por favor seleccione en el menú superior izquierdo el WEBSITE o STORE VIEW que desea configurar.</span>"
"Setting up","Configuración"
"Setting up your Bridge account","Configurar la cuenta de Bridge"
"Status","Estado"
"WebHook configuration","Configuración del WebHook"
"WebHook contacted","WebHook contactado"
"Production environment","Entorno de producción"
" on all the shop"," en toda la tienda"
"Error not in website or storeview context","Error no en el contexto del sitio web o de la vista de la tienda"
"Connected to bridge API","Conectado a la API del puente"
" banks"," bancos"
"WebHook URL copied to clipboard","URL del WebHook copiado en el portapapeles"
"This URL is needed to connect Bridge to your website. ","Esta URL es necesaria para conectar Bridge a su sitio web. "
"It must be entered in the WebHook section of your Bridge account ","Debe introducirse en la sección WebHook de su cuenta de Bridge "
"for the module to work properly.","para que el módulo funcione correctamente."
"Error in response : ","Error en la respuesta : "
"Not enabled","No habilitado"
"Enabled","Habilitado"
"Easily add direct deposit payment for your customers.","Añade fácilmente el pago de depósito directo para tus clientes."
"Error while retrieving the payment link. Please try again.","Error al recuperar el enlace de pago. Vuelve a intentarlo."
"Error, bank selected is invalid. Please verify the selected bank","Error, el banco seleccionado no es válido. Comprueba la selección."
"Error with the cart. Please refresh your page.","Error con el carrito. Refresca la página."
"Error with the cart. Please refresh your page.","Error con el carrito. Refresca la página."
"Error with the customer. Please verify your order.","Error en la cuenta del cliente. Por favor, compruebe su pedido."
"Error with the payment status, please try again.","Error en el estado del pago. Por favor, inténtalo de nuevo."
"Due to a difference between the amount in your shopping cart and the amount paid, the order could not be created.","En raison d'une différence entre le montant de votre panier et le montant payé, la commande n'a pas pu être créée."
"We recommend you to contact us by email at %s.","Nous vous recommandons de nous contacter par mail à cette adresse %s"
"Technical error, please contact support.",
"Error during payment, please try again.","Error durante el pago, por favor, inténtelo de nuevo."
"Yes","Sí"
"No","No"
"Successful update.","Actualización realizada con éxito."
"WebHook URL sent to clipboard","URL del WebHook copiado en el portapapeles"
"SSL enabled","SSL activo"
"SSL not enabled on all the shop","SSL no activo en toda la tienda"
"Ok","Ok"
"No","Non"
"not installed","No instalado"
"Connected to Bridge API","Conectado a la API de Bridge"
"Webhook triggered","Webhook activado"
"Production environment","Entorno de producción"
"Back","Volver"
"Pay via Bridge","Pagar con Bridge"
"Choose my bank","Elegir mi banco"
"Search a bank","Buscar un banco"
"No results to display","No hay resultados para mostrar"
"Instant bank payment ","Transferencia inmediata "
"TLS call failed","Llamada TLS fallida"
"No configuration saved","Ninguna configuración guardada"
"Error while calling the Bridge API please consult logs for more informations.","Error al llamar a la API de Bridge, consulta los registros para obtener más información."
"Pay with Bridge","Pagar con Bridge"
"Try again to check payment",
"Click here to try again to check payment from Bridge",
"You have chosen to pay for your order by bank transfer using Bridge solution.","Ha elegido pagar su pedido por transferencia inmediata mediante la solución Bridge."
"Your transfer is under process.","Su transferencia está a la espera de ser ejecutada por su banco."
"Your order will be shipped once the transfer executed by your bank.","Su pedido se enviará tan pronto como su banco haya procesado la transferencia."
"If you have any questions or concerns, please feel free to contact ",
"our customer service.","nuestro servicio de atención al cliente."
"Setting up your order statuses","Configuración del estado de su pedido"
"Status of pending wire transfers","Estado de las transferencias--br--pendientes de tramitación"
"The order will be set to the selected status while waiting for the transfer to be processed by the issuing bank","El pedido estará en este estado hasta que el banco emisor haya ejecutado el pago"
"Status of executed wire transfers","Estado de las transferencias emitidas"
"The order will be placed in this status upon execution of payment by the issuing bank","El pedido pasará a este estado en cuanto el banco emisor ejecute la transferencia"
"Assigning the payment states to different statuses will change the events started by Magento. Exemple : on payment accepted, Magento sends an email to your customer to confirm his order.","La asignación de estados de pago a diferentes estados modificará los eventos desencadenados por Magento. Ejemplo: al aceptar el pago, Magento envía un correo electrónico a su cliente para confirmar su pedido."
"Save","Registrar"
"Setting up your Bridge account","Configuración de su cuenta de Bridge"
"Environment","Entorno"
"Test","Test"
"Production","Producción"
"This option defines in whitch environment your module is configured","Esta opción define en qué entorno está configurado su módulo"
"Client ID","ID de cliente"
"Fill in you Client ID","Introduzca su ID de cliente"
"This information is located in your Bridge dashboard: 'Settings' &gt; 'General settings'","Esta información se encuentra en el panel de control de Bridge: ""Parámetros"
"Fill in you Client secret","Rellene su cliente secreto"
"Save","Registrar"
"Status","Estatus"
"URL for webhook","URL del webhook"
"Accept your first payments in 10 minutes","Acepta tus primeros pagos en 10 minutos"
"Test Bridge","Probar Bridge"
"Create a Bridge account","Crear una cuenta Bridge"
"Create a test application","Crear una aplicación de prueba"
"Enable test mode below","Activar el método de prueba siguiente"
"Insert test client ID and client Secret below","Introducir el ID de cliente y el cliente secreto de prueba a continuación"
"Test payments","Probar los pagos"
"Go to production","Pasar a producción"
"Schedule an appointment here","Pide cita aquí"
"Need help ?","¿Necesitas ayuda?"
"As for the solution, if you want to know the coverage available ?","Sobre la solución, ¿cobertura disponible?"
"Visit our FAQs here","Consultar nuestras FAQ aquí"
"Having a problem setting up the solution ?","¿Hay algún problema en la implementación de la solución?"
"Contact our technical team here","Contactar nuestro equipo técnico aquí"
"Having a technical issue in production ?","¿Hay algún problema en producción?"
"Contact our support here","Contactar con nuestro equipo de soporte aquí"
"Unavaliable","No disponible"
"To configure this module you need to select a sub shop","Para configurar este módulo, debes seleccionar una tienda"
"What is Pay by Account-to-Account Transfer (by Bridge)?","¿Qué es el módulo Pagar por transferencia cuenta a cuenta (por Bridge)?"
"Integrate Bridge, a secure plug-and-play payment solution, to increase your conversion rates at reduced costs. Enjoy easy reconciliation and low fraud rates.<br />","Integrar Bridge, una solución de pago seguro plug-and-play, para aumentar tus tasas de conversión a costes más bajos. Aprovecha una conciliación más fácil y bajos índices de fraude. <br />"
"The Bridge payment solution allows you to:<br />","La solución de pago Bridge permite: <br />"
"- Offer high payment ceilings:<br />","- Ofrecer altos límites de pago:<br />"
"Increase your conversion rates by allowing top carts to pay large sums instantly. <br />","Aumenta tu tasa de conversión al permitir que los carritos altos paguen cantidades elevadas al instante. <br />"
