"Are you sure you want to uninstall this module?","Disinstallare questo modulo?",
"Bridge","Bridge",
"New! Instant payment, easier, faster","New! Instant payment, easier, faster",
"Bank Payment by Bridge","Bank Payment by Bridge"
"Bridge official","Bridge officiel",
"Waiting for Bridge Transfer","In attesa del trasferimento di Brige",
"<span style='color:red'><b>Bridge</b> can only be configured in WEBSITE or STORE VIEW, please select in the top-left menu the WEBSITE or STORE VIEW that you want to configure.</span>","<span style='color:red'><b>Bridge</b> può essere configurato solo in WEBSITE o STORE VIEW, selezionare nel menu in alto a sinistra il WEBSITE o STORE VIEW che si desidera configurare.</span>",
"Setting up","Impostazione",
"Setting up your Bridge account","Impostazione dell'account Bridge",
"Status","Stato",
"WebHook configuration","Configurazione di WebHook",
"WebHook contacted","WebHook contattato",
"Production environment","Ambiente di produzione",
" on all the shop"," su tutti i negozi",
"Error not in website or storeview context","Errore non nel contesto di visualizzazione del sito web o del negozio",
"Connected to bridge API","Collegato all'API bridge",
" banks"," banche",
"WebHook URL copied to clipboard","URL WebHook copiato negli appunti",
"This URL is needed to connect Bridge to your website. ","Questo URL è necessario per collegare Bridge al vostro sito web. ",
"It must be entered in the WebHook section of your Bridge account ","Deve essere inserito nella sezione WebHook del proprio account Bridge ",
"for the module to work properly.","affinché il modulo funzioni correttamente.",
"Error in response : ","Errore nella risposta : ",
"Not enabled","Non abilitato",
"Enabled","Abilitato",
"Easily add direct deposit payment for your customers.","Aggiungi facilmente il pagamento tramite bonifico diretto per i tuoi clienti.",
"Error while retrieving the payment link. Please try again.","Errore durante il recupero del link di pagamento. Si prega di riprovare.",
"Error, bank selected is invalid. Please verify the selected bank","Errore, la banca selezionata non è valida. Verificare la selezione.",
"Error with the cart. Please refresh your page.","Errore con il carrello. Aggiornare la pagina.",
"Error with the cart. Please refresh your page.","Errore con il carrello. Aggiornare la pagina.",
"Error with the customer. Please verify your order.","Errore con l'account del cliente. Si prega di controllare l'ordine.",
"Error with the payment status, please try again.","Errore nello stato di pagamento. Si prega di riprovare.",
"Due to a difference between the amount in your shopping cart and the amount paid, the order could not be created.","A causa di una differenza tra l'importo presente nel carrello e quello pagato, non è stato possibile creare l'ordine.",
"We recommend you to contact us by email at %s.","Le consigliamo di contattarci via e-mail all'indirizzo %s.",
"Technical error, please contact support.",,
"Error during payment, please try again.","Errore durante il pagamento, si prega di riprovare.",
"Yes","Sì",
"No","Non",
"Successful update.","Aggiornamento riuscito.",
"WebHook URL sent to clipboard","URL WebHook copiée dans le presse-papier",
"SSL enabled","SSL attivo",
"SSL not enabled on all the shop","SSL non attivato su tutto il negozio",
"Ok","Ok",
"No","No",
"not installed","Non installato",
"Connected to Bridge API","Connesso all’API Bridge",
"Webhook triggered","Webhook déclenché",
"Production environment","Ambiente di produzione",
