"Are you sure you want to uninstall this module?","Adicione facilmente o pagamento por transferência direta para os seus clientes.",
"Bridge","Bridge",
"Bridge official","Bridge officiel",
"Bank Payment by Bridge","Bank Payment by Bridge"
"New! Instant payment, easier, faster","New! Instant payment, easier, faster",
"Waiting for Bridge Transfer","A aguardar a transferência da ponte",
"<span style='color:red'><b>Bridge</b> can only be configured in WEBSITE or STORE VIEW, please select in the top-left menu the WEBSITE or STORE VIEW that you want to configure.</span>","<span style='color:red'><b>Bridge</b> può essere configurato solo in WEBSITE o STORE VIEW, selezionare nel menu in alto a sinistra il WEBSITE o STORE VIEW che si desidera configurare.</span>",
"Setting up","Criação",
"Setting up your Bridge account","Criar a sua conta Bridge",
"Status","Estado",
"WebHook configuration","Configuração do WebHook",
"WebHook contacted","WebHook contactado",
"Production environment","Ambiente de produção",
" on all the shop"," em toda a loja",
"Error not in website or storeview context","Erro não no contexto de visualização do website ou da loja",
"Connected to bridge API","Ligado ao API da ponte",
" banks"," bancos",
"WebHook URL copied to clipboard","URL do WebHook copiado para a área de transferência",
"This URL is needed to connect Bridge to your website. ","Este URL é necessário para ligar o Bridge ao seu website. ",
"It must be entered in the WebHook section of your Bridge account ","Deve ser introduzido na secção WebHook da sua conta Bridge ",
"for the module to work properly.","para que o módulo funcione correctamente.",
"Error in response : ","Erro na resposta : ",
"Not enabled","Não activado",
"Enabled","Activado",
"Easily add direct deposit payment for your customers.","Adicione facilmente o pagamento por transferência direta para os seus clientes.",
"Error while retrieving the payment link. Please try again.","Erro ao recuperar o link do pagamento. Por favor, tente novamente.",
"Error, bank selected is invalid. Please verify the selected bank","Erro, o banco selecionado não é válido. Por favor, verifique o banco selecionado",
"Error with the cart. Please refresh your page.","Erro com o carrinho. Por favor, atualize a sua página.",
"Error with the cart. Please refresh your page.","Erreur avec le panier. Merci de rafraîchir votre page.",
"Error with the customer. Please verify your order.","Erro na conta do cliente. Por favor, verifique a sua encomenda.",
"Error with the payment status, please try again.","Erro no estado de pagamento. Por favor, tente novamente.",
"Due to a difference between the amount in your shopping cart and the amount paid, the order could not be created.","Devido a uma diferença entre o montante no seu carrinho de compras e o montante pago, a encomenda não pôde ser criada.",
"We recommend you to contact us by email at %s.","Recomendamos-lhe que nos contacte por e-mail em %s.",
"Technical error, please contact support.",,
"Error during payment, please try again.","Erro durante o pagamento, por favor tente novamente.",
"Yes","Sim",
"No","Não",
"Successful update.","Atualização bem-sucedida.",
"WebHook URL sent to clipboard","URL do WebHook copiado para a área de transferência",
"SSL enabled","SSL ativado",
"SSL not enabled on all the shop","SSL não ativado para toda a loja",
"Ok","Ok",
"No","Não",
"not installed","Não instalado",
"Connected to Bridge API","Ligado à API Bridge",
"Webhook triggered","Gancho da rede accionado",
